temporal_iteration	number_of_vertices	gradient_max	gradient_min	gradient_media
1	142253	65,18423462	5,37E-027	4,471274376
2	142253	70,97427368	1,22E-020	3,058527708
2	142253	70,97427368	1,22E-020	3,058527708
3	142253	71,84577942	1,63E-017	2,452103615
3	142253	71,84577942	1,63E-017	2,452103615
4	142253	72,10745239	1,95E-015	2,087734699
4	142253	72,10745239	1,95E-015	2,087734699
5	142253	72,22055054	9,45E-014	1,836027622
5	142253	72,22055054	9,45E-014	1,836027622
6	142253	72,27978516	1,52E-012	1,648029923
6	142253	72,27978516	1,52E-012	1,648029923
7	142253	72,31471252	5,80E-011	1,500235558
7	142253	72,31471252	5,80E-011	1,500235558
8	142253	72,33704376	1,47E-010	1,379615784
8	142253	72,33704376	1,47E-010	1,379615784
9	142253	72,35219574	3,19E-009	1,278286457
9	142253	72,35219574	3,19E-009	1,278286457
10	142253	72,36294556	3,28E-009	1,191187024
10	142253	72,36294556	3,28E-009	1,191187024
11	142253	72,37084961	1,89E-009	1,114955902
11	142253	72,37084961	1,89E-009	1,114955902
